date,water_temp_f,water_temp_c
2023-10-17,56.0,13.333333333333334
2023-10-18,56.0,13.333333333333334
2023-10-19,56.0,13.333333333333334
2023-10-20,55.0,12.777777777777779
2023-10-21,57.0,13.88888888888889
2023-10-22,56.0,13.333333333333334
2023-10-23,56.0,13.333333333333334
2023-10-24,57.0,13.88888888888889
2023-10-25,57.0,13.88888888888889
2023-10-26,57.0,13.88888888888889
2023-10-27,57.0,13.88888888888889
2023-10-28,52.0,11.11111111111111
2023-10-29,50.0,10.0
2023-10-30,48.0,8.88888888888889
2023-10-31,46.0,7.777777777777778
2023-11-01,45.0,7.222222222222222
2023-11-02,44.0,6.666666666666667
2023-11-03,45.0,7.222222222222222
2023-11-04,45.0,7.222222222222222
2023-11-05,46.0,7.777777777777778
2023-11-06,46.0,7.777777777777778
2023-11-07,46.0,7.777777777777778
2023-11-08,46.0,7.777777777777778
2023-11-09,45.0,7.222222222222222
2023-11-10,44.0,6.666666666666667
2023-11-11,44.0,6.666666666666667
2023-11-12,45.0,7.222222222222222
2023-11-13,45.0,7.222222222222222
2023-11-14,46.0,7.777777777777778
2023-11-15,47.0,8.333333333333334
2023-11-16,47.0,8.333333333333334
2023-11-17,47.0,8.333333333333334
2023-11-18,46.0,7.777777777777778
2023-11-20,46.0,7.777777777777778
2023-11-21,46.0,7.777777777777778
2023-11-22,44.0,6.666666666666667
2023-11-23,43.0,6.111111111111111
2023-11-24,40.0,4.444444444444445
2023-11-25,40.0,4.444444444444445
2023-11-26,40.0,4.444444444444445
2023-11-27,36.0,2.2222222222222223
2023-11-28,35.0,1.6666666666666667
2023-11-29,35.0,1.6666666666666667
2023-11-30,36.0,2.2222222222222223
2023-12-01,37.0,2.7777777777777777
2023-12-02,37.0,2.7777777777777777
